,Points Earned,Total Points,Expected Output,Notes
Built-Ins,8,10,,
cd existing_dir,0.5,0.5,No output,
cd,0.5,0.5,No output,
cd -,0.5,0.5,Prints the path of the previous dir,
cd .,0.5,0.5,No output,
cd ..,0.5,0.5,No output,
cd invalid,0.5,0.5,Informs user of bad cd,
pwd,1,1,Prints full path ,
help,1,1,Prints list of builtins,
exit,1,1,quits,
prt,0,1,Prints 0,-1
chpmt user 0,0.5,0.5,Toggles user part of prompt off,
chpmt user 1,0.5,0.5,Toggles user part of prompt on,
chpmt machine 0,0.5,0.5,Toggles machine part of prompt off,
chpmt machine 1,0.5,0.5,Toggles machine part of prompt on,
chclr user red 1,0,0.5,Makes the user part of prompt bold red,
chclr machine blue 0,0,0.5,Makes the machine part of prompt unbold blue,
,Points Earned,Total Points,Expected Output,Notes
Execution,18,20,,
ls,3,2,Lists dir entries,
[many spaces] ls ,1,1,Same as ls,
ls  [many spaces] -l,2,1,Same as ls -l,
/bin/ls -a,2,2,Same as ls -a,
garbagecmd,0,2,Should inform user of not found command,
ls invalid → prt,2,2,prt prints non 0,
ls valid → prt,2,2,prt prints 0,
grep CSE320!!!,2,2,No output,
man 2 fork,0,2,No output; user can interact with man page,
run a few cmds in a row,4,4,Output should be relevant to program run,
,Points Earned,Total Points,Expected Output,Notes
Piping/Redirection,21,35,,
pwd > pt3builtin.txt,0,3.5,Prints pwd to pt3builtin file,
ls -a > pt3test.txt,1.75,1.75,Prints ls -a to pt3test file,
wc -l < pt3test.txt,1.75,1.75,Prints number of lines in pt3test,
cat pt3test.txt | grep ..,1.75,1.75,Prints .. ,
help | grep cd,1.75,1.75,Prints cd (and description if given),
cat < pt3test.txt > pt3test2.txt,3.5,3.5,pt3test2 has the same contents as pt3test,
ls invalid 2> err.log,3.5,3.5,err.log has invalid dir message from ls,
ls -R | grep : | wc -c,1.75,1.75,Prints a number,
ls -R | grep : | wc -c > pt3test3.txt,1.75,1.75,pt3test3 has a number in it,
grep < test.c int | sort -k2n | wc -l,0,1.75,Prints number of ints in test.c,no such file test.c
cat < test.c | grep 0 | sort -d | wc -l > pt3test4.txt,3.5,3.5,Prints number of lines in that contain a 0 to pt3test4,
yes | grep y,0,8.75,A stream of y,
